Year,Month,Date,Total,Goods,Services
1992,1,1992.04166666667,-2.026,-6.952,4.926
1992,2,1992.125,-0.831,-5.593,4.762
1992,3,1992.20833333333,-2.641,-7.355,4.714
1992,4,1992.29166666667,-3.109,-8.284,5.175
1992,5,1992.375,-3.919,-8.72,4.801
1992,6,1992.45833333333,-2.824,-7.538,4.714
1992,7,1992.54166666667,-2.781,-7.433,4.652
1992,8,1992.625,-4.455,-9.317,4.862
1992,9,1992.70833333333,-3.53,-8.451,4.921
1992,10,1992.79166666667,-3.52,-8.354,4.834
1992,11,1992.875,-3.968,-8.714,4.746
1992,12,1992.95833333333,-5.603,-10.185,4.582
1993,1,1993.04166666667,-3.871,-9.001,5.13
1993,2,1993.125,-3.596,-9.167,5.571
1993,3,1993.20833333333,-6.777,-12.064,5.287
1993,4,1993.29166666667,-6.445,-11.674,5.229
1993,5,1993.375,-4.369,-9.682,5.313
1993,6,1993.45833333333,-6.929,-12.187,5.258
1993,7,1993.54166666667,-6.382,-11.681,5.299
1993,8,1993.625,-5.581,-11.02,5.439
1993,9,1993.70833333333,-7.031,-12.08,5.049
1993,10,1993.79166666667,-6.594,-11.775,5.181
1993,11,1993.875,-7.016,-11.447,4.431
1993,12,1993.95833333333,-5.719,-10.673,4.954
1994,1,1994.04166666667,-6.207,-11.043,4.836
1994,2,1994.125,-9.245,-14.038,4.793
1994,3,1994.20833333333,-6.466,-12.39,5.924
1994,4,1994.29166666667,-7.887,-13.408,5.521
1994,5,1994.375,-7.728,-13.301,5.573
1994,6,1994.45833333333,-8.38,-14.241,5.861
1994,7,1994.54166666667,-8.739,-14.633,5.894
1994,8,1994.625,-8.303,-13.96,5.657
1994,9,1994.70833333333,-8.31,-13.801,5.491
1994,10,1994.79166666667,-9.158,-14.788,5.63
1994,11,1994.875,-9.615,-15.643,6.028
1994,12,1994.95833333333,-8.456,-14.586,6.13
1995,1,1995.04166666667,-9.324,-15.562,6.238
1995,2,1995.125,-8.817,-14.487,5.67
1995,3,1995.20833333333,-9.708,-15.547,5.839
1995,4,1995.29166666667,-9.609,-15.901,6.292
1995,5,1995.375,-9.09,-15.42,6.33
1995,6,1995.45833333333,-10.623,-16.068,5.445
1995,7,1995.54166666667,-7.688,-14.448,6.76
1995,8,1995.625,-6.704,-13.515,6.811
1995,9,1995.70833333333,-5.924,-13.187,7.263
1995,10,1995.79166666667,-6.114,-12.861,6.747
1995,11,1995.875,-6.514,-13.597,7.083
1995,12,1995.95833333333,-6.271,-13.577,7.306
1996,1,1996.04166666667,-8.465,-15.007,6.542
1996,2,1996.125,-7.319,-13.764,6.445
1996,3,1996.20833333333,-7.756,-15.122,7.366
1996,4,1996.29166666667,-8.744,-15.597,6.853
1996,5,1996.375,-9.259,-16.668,7.409
1996,6,1996.45833333333,-7.46,-14.944,7.484
1996,7,1996.54166666667,-10.132,-16.397,6.265
1996,8,1996.625,-10.357,-17.097,6.74
1996,9,1996.70833333333,-10.195,-17.018,6.823
1996,10,1996.79166666667,-6.635,-15.07,8.435
1996,11,1996.875,-7.268,-15.814,8.546
1996,12,1996.95833333333,-10.475,-18.502,8.027
1997,1,1997.04166666667,-11.269,-18.455,7.186
1997,2,1997.125,-9.776,-17.036,7.26
1997,3,1997.20833333333,-8.383,-16.048,7.665
1997,4,1997.29166666667,-8.086,-15.778,7.692
1997,5,1997.375,-8.394,-16.248,7.854
1997,6,1997.45833333333,-7.154,-15.021,7.867
1997,7,1997.54166666667,-7.033,-14.718,7.685
1997,8,1997.625,-8.743,-16.505,7.762
1997,9,1997.70833333333,-9.269,-16.597,7.328
1997,10,1997.79166666667,-9.089,-16.82,7.731
1997,11,1997.875,-9.786,-16.854,7.068
1997,12,1997.95833333333,-11.289,-18.35,7.061
1998,1,1998.04166666667,-10.776,-18.016,7.24
1998,2,1998.125,-11.564,-18.302,6.738
1998,3,1998.20833333333,-12.88,-20.288,7.408
1998,4,1998.29166666667,-13.94,-21.488,7.548
